Commodity Type,Genus,Revenue/Acre [est],USDA Zones,Preferred soil drainage,Prefered pH,
Maguey,Agave spp. except for Agave parviflora and Agave victoriae-reginae,"$3,000 – $6,000",Zones 8-11,Well-drained,7.0–8.5,Sand and Loam
Mahogany fruit,Sandoricum spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Malabar spinach,Basella spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Malay apple,Syzygium spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Mameyes colorados,Mammea spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Mammee apple,Mammea spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Mango,Mangifera spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Mangold,Beta spp.,"$3,000 – $6,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Mangosteen,Garcinia spp.,"$6,000 – $12,000",Zones 11-12,Well-drained,5.5–6.5,Loam
Manioc,Manihot spp.,"$2,000 – $4,000",Zones 10-12,Moderate,5.5–6.5,Loam
Maple sugar,Acer spp.,"$2,000 – $4,000",Zones 3-8,Moderate,6.0–7.0,Loam
Maple syrup,Acer spp.,"$2,000 – $4,000",Zones 3-8,Moderate,6.0–7.0,Loam
Maqui fruit,Aristotelia spp.,"$5,000 – $10,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Marang,Artocarpus spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Marigold,Calendulla spp.,"$6,000 – $12,000",Zones 5-10,Well-drained,6.5–7.5,Loam
Marjoram,Origanum spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Marshmallow,Althaea spp.,"$3,000 – $6,000",Zones 5-9,"Moist, Well-drained",6.0–7.0,Loam and Clay
Mate,Ilex spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,5.5–6.5,Loam
Matsutake,Tricholoma spp.,"$8,000 – $15,000",Zones 5-8,Well-drained (forest floor),4.5–6.0,Loam (forest floor)
Melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Mexican oregano,Lippia spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,7.0–8.5,Loam
Mexican tea,Dysphania spp.,"$3,000 – $6,000",Zones 8-11,Well-drained,6.0–7.5,Loam
Millet,Setaria spp. Amaranthus spp. Sorghum spp.,"$600 – $1,200",Zones 5-10,Moderate,6.5–7.5,Sand and Loam
Miner's lettuce,Claytonia spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Mint,Mentha spp.,"$6,000 – $12,000",Zones 5-9,"Moist, Well-drained",6.0–7.0,Loam
Mioga ginger,Zingiber spp.,"$8,000 – $15,000",Zones 8-12,Well-drained,5.5–6.5,Loam
Mitsuba,Akebia spp.,"$4,000 – $8,000",Zones 6-9,Well-drained,6.0–7.0,Loam
Mombin,Spondias spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Mountain papaya,Vasconcellea spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Mugwort,Artemisia spp.,"$3,000 – $6,000",Zones 3-8,Moderate,7.0–8.5,Loam
Mulberry,"Morus spp., Broussonetia spp.","$4,000 – $8,000",Zones 5-10,Well-drained,6.0–7.0,Loam
Mung bean,Vigna spp.,"$2,000 – $4,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Mustard,Brassica spp.,"$2,000 – $4,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Mustard greens,Brassica spp.,"$4,000 – $8,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Mustard seed,Brassica spp.,"$1,500 – $3,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Naranjilla,Solanum spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Narcissus,Narcissus spp.,"$6,000 – $12,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Natal plum,Carissa spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Nectarine,Prunus spp. except for Prunus africana,"$6,000 – $12,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Netted melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
New Zealand Spinach,Tetragonia spp.,"$5,000 – $10,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Niger seed,Guizotia spp.,"$1,000 – $2,000",Zones 4-8,Moderate,6.5–7.5,Loam
Nutmeg,Myristica spp.,"$10,000 – $20,000",Zones 11-12,Well-drained,5.5–6.5,Loam
Oats,Avena spp.,$400 – $800,Zones 3-7,Moderate,6.0–7.0,Loam
Oca,Oxalis spp.,"$3,000 – $6,000",Zones 8-12,Well-drained,5.5–6.5,Loam
Ogen melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Okra,Abelmoschus spp.,"$4,000 – $8,000",Zones 5-12,Well-drained,6.0–7.5,Loam
Olive,Olea spp.,"$4,000 – $8,000",Zones 8-11,Well-drained,7.0–8.5,Loam
Onion,Allium spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Orange,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Oregano,Origanum spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.5–7.5,Loam
"Oregano, Mexican",Lippia spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,7.0–8.5,Loam
Oriental melon,Cucumis spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Orris,Iris spp.,"$6,000 – $12,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Ortanique,Maclura spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Pacaya,Chamaedorea spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Pak choi,Brassica spp.,"$5,000 – $10,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Palm heart,Euterpe spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Clay and Loam (wetland)
Palm nut,Astrocaryum spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Palm oil,Elaeis guineensis,"$5,000 – $10,000",Zones 11-12,Well-drained,5.5–6.5,Clay and Loam
Papache,Randia spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Papaw,Asimina spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Papaya,Carica spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Paprika,Capsicum spp.,"$4,000 – $8,000",Zones 5-10,Well-drained,6.0–7.0,Loam
Parsley,Petrosilenum spp.,"$5,000 – $10,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Parsnip,Pastinaca spp.,"$4,000 – $8,000",Zones 3-8,Well-drained,6.5–7.5,Loam
Passion fruit,Passiflora spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,5.5–6.5,Loam
Patchouli,Pogostemon spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Pea,Pisum spp.,"$3,000 – $6,000",Zones 3-8,Well-drained,6.0–7.5,Loam
Peach,Prunus spp. except for Prunus africana,"$6,000 – $12,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Peach palm,Bactris app.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Peanut,Arachis spp.,"$2,000 – $4,000",Zones 7-12,Well-drained,6.0–7.0,Loam
Pear,Pyrus spp.,"$5,000 – $10,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Pecan,Carya spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Pepino,Solanum spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Pepper,Capsicum spp.,"$6,000 – $12,000",Zones 5-12,Well-drained,6.0–7.0,Loam
"Peppercorn, fresh",Piper spp.,"$8,000 – $15,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Peppermint,Mentha spp.,"$6,000 – $12,000",Zones 5-9,"Moist, Well-drained",6.0–7.0,Loam
Perilla,Perilla spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Persimmon,Diospyros spp.,"$5,000 – $10,000",Zones 6-10,Well-drained,6.0–7.0,Loam
Peruvian carrot,Arracacia spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Petunia,Petunia spp.,"$8,000 – $15,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Pigeon pea,Cajanus spp.,"$1,500 – $3,000",Zones 9-12,Moderate,6.0–7.5,Loam
Pignolia,Pinus spp.,"$3,000 – $6,000",Zones 5-9,Moderate,6.0–7.0,Sand and Loam
Pimenta,Pimenta spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Pimientos,Capsicum spp.,"$5,000 – $10,000",Zones 5-12,Well-drained,6.0–7.0,Loam
Pineapple,Ananas spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,4.5–6.5,Loam
Pinguin,Bromelia spp.,"$4,000 – $8,000",Zones 10-12 (if pineapple),Well-drained,4.5–6.5,Loam
Pistachio,Pistacia spp.,"$6,000 – $12,000",Zones 6-9,Well-drained,7.0–8.5,Loam
Plantain,Musa spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–7.0,Loam
Plum,Prunus spp. except for Prunus africana,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Plumcot,Prunus spp. except for Prunus africana,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Pohole fern,"Pteridium spp., Matteuccia spp., Osmunda spp., Athyrium spp.","$4,000 – $8,000",Zones 9-12,"Moist, Well-drained",5.5–6.5,Loam and Clay
Poinsettia,Poinsettia spp.,"$8,000 – $15,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Pointed gourd,Trichosanthes spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Pokeweed greens,Phytolacca spp.,"$3,000 – $6,000",Zones 5-9,Moderate,6.0–7.0,Loam
Pomegranate,Punica spp.,"$6,000 – $12,000",Zones 6-12,Well-drained,6.5–7.5,Loam
Pomelo,Citrus spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Poppy,Opium spp.,"$6,000 – $12,000",Zones 3-8,Well-drained,6.5–7.5,Loam
Poreleaf,Porophyllum spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,6.5–7.5,Loam
Potato,Solanum spp.,"$5,000 – $10,000",Zones 3-10,Well-drained,5.5–6.5,Loam
Prune,Prunus spp. except for Prunus africana,"$4,000 – $8,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Psyllium,Psyllium spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Pulasan,Nephelium spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Pummelo,Citrus spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Pumpkin,Cucurbita spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Purslane,Potulaca spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,6.5–7.5,Loam
Queensland arrowroot,Canna spp.,"$3,000 – $6,000",Zones 10-12,Well-drained,6.0–7.0,Clay and Loam
Quince,Cydonia spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Quinoa,Chenopodium spp.,"$3,000 – $6,000",Zones 3-8,Moderate,6.5–8.0,Loam
Radicchio,Cichorium spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Radish,Raphanus spp.,"$4,000 – $8,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Raisins,Vitis spp.,"$3,000 – $6,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Rambutan,Nephelium spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Rampion,Campanula spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Rapeseed,Brassica spp.,"$600 – $1,200",Zones 3-9,Moderate,6.0–7.0,Loam
Raspberry,Rubus spp.,"$6,000 – $12,000",Zones 3-8,Well-drained,5.5–6.5,Loam
Rhododendron,Rhododendron spp.,"$5,000 – $10,000",Zones 4-8,"Acidic, Well-drained",4.5–6.0,Loam and Clay (acidic)
Rhubarb,Rheum x Hybridum,"$4,000 – $8,000",Zones 3-8,Well-drained,6.0–7.0,Loam
Rice,Oryzae spp.,"$1,500 – $3,000",Zones 9-12,Excessive (flooded),5.0–7.0,Clay and Loam (flooded)
Rose,Rosa spp.,"$8,000 – $15,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Rose apple,Syzygium spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Rose hip,Rosa spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Roselle,Hibiscus spp.,"$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Rosemary,Rosmarinus spp.,"$5,000 – $10,000",Zones 6-12,Well-drained,6.5–7.5,Sand and Loam
Rutabaga,Brassica spp.,"$3,000 – $6,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Rye,Secale spp.,$400 – $800,Zones 3-7,Moderate,5.5–6.5,Loam
Safflower,Carthamus spp.,"$1,000 – $2,000",Zones 5-9,Moderate,6.5–7.5,Loam
Saffron,Crocus spp.,"$20,000 – $40,000",Zones 5-8,Well-drained,6.5–7.5,Loam
Sage,Salvia spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Sago,Metroxylon spp.,"$4,000 – $8,000",Zones 9-12,Excessive (wetland),5.5–6.5,Clay and Loam (wetland)
Sainfoin,Onobrychis spp.,"$800 – $1,500",Zones 4-8,Moderate,7.0–8.5,Loam
Salicornia spp.,Salicornia spp.,"$3,000 – $6,000",Zones 8-12,Excessive (saline),7.0–8.5,Clay and Loam (saline)
Salsify,Tragopogon spp.,"$3,000 – $6,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Saluyut jute,Corchorus spp.,"$2,000 – $4,000",Zones 9-12,Moderate,6.0–7.5,Loam
Santol,Sandoricum spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Sapodilla ,Manilkara spp. ,"$5,000 – $10,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Sapote,Pouteria spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Sarsaparilla,Smilax spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Satsuma,Citrus spp.,"$6,000 – $12,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Sausage fruit,Kigelia spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Savory,Satureja spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Screwpine,Pandanus spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Semolina,Triticum spp.,"$800 – $1,500",Zones 2-11,Moderate,6.0–7.0,Loam
Sesame,Sesamun spp.,"$2,000 – $4,000",Zones 9-12,Well-drained,6.5–7.5,Loam
Sesame seed,Sesamun spp.,"$2,000 – $4,000",Zones 9-12,Well-drained,6.5–7.5,Loam
Shallot,Allium spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Shepherd's purse,Capsella spp.,"$2,000 – $4,000",Zones 3-8,Moderate,6.5–7.5,Loam
Shield leaf,Cecropia spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Singhara nut,Trapa spp.,"$4,000 – $8,000",Zones 8-11,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Sloeberry,Prunus spp. except for Prunus africana,"$3,000 – $6,000",Zones 5-8,Well-drained,6.0–7.5,Loam
Snap beans,Phaseolus spp.,"$4,000 – $8,000",Zones 5-10,Well-drained,6.0–7.5,Loam
Snapdragon,Antirrhinum spp.,"$7,000 – $14,000",Zones 4-9,Well-drained,6.5–7.5,Loam
Snow pea,Pisum spp.,"$4,000 – $8,000",Zones 3-8,Well-drained,6.0–7.5,Loam
Sorghum,Sorghum spp.,"$800 – $1,500",Zones 5-12,Moderate,6.5–7.5,Loam
Sorrel,Rumex spp.,"$4,000 – $8,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Sorva,Couma spp.,"$3,000 – $6,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Soursop,Annona spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Soybean,Glycine spp.,"$500 – $1,000",Zones 4-9,Moderate,6.0–7.5,Loam
Spearmint,Mentha spp.,"$6,000 – $12,000",Zones 5-9,"Moist, Well-drained",6.0–7.0,Loam
Spinach,Spinacia spp.,"$8,000 – $15,000",Zones 4-8,Well-drained,7.0–8.5,Loam
Squash,Cucurbita spp.,"$4,000 – $8,000",Zones 4-10,Well-drained,6.0–7.5,Loam
Stevia,Stevia rebaudiana,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
St. John's bread,Ceratonia spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,7.0–8.5,Loam
Stone fruit,Prunus spp. except for Prunus africana,"$6,000 – $12,000",Zones 5-9,Well-drained,6.0–7.5,Loam
Strawberry,Fragaria spp.,"$10,000 – $20,000",Zones 4-9,Well-drained,5.5–6.5,Loam
Strawberry-spinach,Chenopodium spp.,"spinach – $4,000 – $8,000",Zones 5-9,Moderate,spinach (Chenopodium spp.) – 6.5–8.0,spinach (Chenopodium spp.) – Loam
String Beans,Phaseolus spp.,"$4,000 – $8,000",Zones 5-10,Well-drained,6.0–7.5,Loam
Sugar apple,Annona spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Sugar beet,Beta spp.,"$1,000 – $2,000",Zones 4-8,Well-drained,7.0–8.5,Loam
Sugarcane,Saccharum spp.,"$2,000 – $4,000",Zones 9-12,Excessive (flooded),6.0–7.5,Clay and Loam
Sultana,Impatiens spp.,"$3,000 – $6,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Summer savory,Satureja spp.,"$3,000 – $6,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Sunflower,Helianthus spp.,"$2,000 – $4,000",Zones 4-9,Well-drained,6.0–7.5,Loam
Suriname cherry,Eugenia spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Sweet ginger,Zingiber spp.,"$8,000 – $15,000",Zones 9-12,Well-drained,5.5–6.5,Loam
Sweet potato,Ipomoea spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,5.5–6.5,Loam
Sweetheart,Talinum spp.,"$4,000 – $8,000",Zones 3-10,Well-drained,6.0–7.5,Loam
Sweetsop,Annona spp.,"$5,000 – $10,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Swiss chard,Beta spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Tamarind,Tamarindus spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,7.0–8.5,Loam
Tangelo,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Tangerine,Citrus spp.,"$6,000 – $12,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Tarragon,Artemisia spp.,"$4,000 – $8,000",Zones 4-8,Well-drained,6.5–7.5,Loam
Tea,Camellia spp.,"$6,000 – $12,000",Zones 7-12,"Acidic, Well-drained",5.5–6.5,Loam and Clay (acidic)
Teata bromeliad (fruit bearing panicle),Aechmea bracteata,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Thyme,Thymus spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.5–7.5,Loam
Tobacco,Nicotinia spp.,"$6,000 – $12,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Tomatillo,Physalis spp.,"$5,000 – $10,000",Zones 6-12,Well-drained,6.0–7.0,Loam
Tomato,Solanum spp.,"$8,000 – $16,000",Zones 5-12,Well-drained,6.0–7.0,Loam
Tonka beans,Taralea spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,6.0–7.0,Loam
Topepo,"Capsicum spp., Solanum spp.","$3,000 – $6,000",Zones 4-8,Well-drained,6.0–7.0,Loam
Tossa jute,Corchorus spp.,"$2,000 – $4,000",Zones 9-12,Moderate,6.0–7.5,Loam
Tree tomato,"Solanum spp., Cyphomandra spp.","$5,000 – $10,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Tropical kudzu,Pueraria spp.,"$2,500 – $5,000",Zones 8-12,Moderate,6.0–7.5,Loam
Tulip,Tulipa spp.,"$10,000 – $20,000",Zones 3-8,Well-drained,6.5–7.5,Loam
Turmeric,Curcuma spp.,"$6,000 – $12,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Turnip,Brassica spp.,"$3,000 – $6,000",Zones 3-9,Well-drained,6.0–7.0,Loam
Udo,Aralia spp.,"$4,000 – $8,000",Zones 8-12,Well-drained,6.0–7.0,Loam
Vetch,Vicia spp.,"$800 – $1,500",Zones 3-7,Moderate,6.0–7.5,Loam
Vetiver,Chrysopogon spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Violet,Viola spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Wall rocket,Diplotaxis spp.,"$4,000 – $8,000",Zones 4-8,Well-drained,7.0–8.5,Loam
Walnut,Juglans spp.,"$5,000 – $10,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Wasabi,Wasabia spp.,"$15,000 – $30,000 (high-cost production)",Zones 8-12,"Moist, Well-drained",6.0–7.0,Clay and Loam (moist)
Water chestnut,Trapa spp.,"$5,000 – $10,000",Zones 8-11,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Water spinach,Ipomoea spp.,"$4,000 – $8,000",Zones 9-12,Excessive (wetland),6.0–7.0,Clay and Loam (wetland)
Watercress,Nasturtium spp.,"$6,000 – $12,000",Zones 6-9,Excessive (aquatic),6.5–8.0,Clay and Loam (aquatic)
Watermelon,Citrullus spp.,"$4,000 – $8,000",Zones 4-11,Well-drained,6.0–7.5,Loam
Wheat,Triticum spp.,$400 – $800,Zones 4-8,Moderate,6.0–7.0,Loam
Wild mace,Myristica spp.,"$5,000 – $10,000",Zones 4-8,Well-drained,5.5–6.5,Loam
Wild spinach,Chenopodium spp.,"$4,000 – $8,000",Zones 3-9,Moderate,6.5–8.0,Loam
Winter melon,Benincasa spp.,"$4,000 – $8,000",Zones 9-12,Well-drained,6.0–7.5,Loam
Woodruff,Galium spp.,"$3,000 – $6,000",Zones 4-8,"Moist, Well-drained",6.0–7.0,Loam and Clay
Yam,Dioscorea spp.,"$4,000 – $8,000",Zones 10-12,Well-drained,5.5–6.5,Loam
Yam bean,Pachyrhizus spp.,"$3,000 – $6,000",Zones 9-12,Well-drained,6.0–7.0,Loam
Yard-long Bean,Vigna spp.,"long Bean – $4,000 – $8,000",Zones 9-12,Well-drained,long Bean (Vigna spp.) – 6.0–7.5,long Bean (Vigna spp.) – Loam
Youngia greens,Youngia spp.,"$5,000 – $10,000",Zones 4-9,Well-drained,6.0–7.0,Loam
Zanthoxylum spp.,Zanthoxylum spp.,"$4,000 – $8,000",Zones 5-9,Well-drained,6.0–7.0,Loam
Zucchini,Cucurbita spp.,"$4,000 – $8,000",Zones 5-10,Well-drained,6.0–7.5,Loam
